,city,city_lat,city_long
255,Ibirite,-20.0214251,-44.0621506
256,Parintins,-2.6344567,-56.7319324
257,Nossa Senhora do Socorro,-10.8553115,-37.1264863
258,Malacacheta,-17.843055,-42.077778
259,Marataizes,-21.0443673,-40.8272204
260,Panama,8.3096067,-81.3066246
261,Jandira,-23.5282044,-46.9019554
262,Barretos,-20.5531437,-48.5697509
263,Macapá,0.0460699,-51.0693238
264,Guaianases,-23.555665,-46.4093288154922
265,Taubate,-23.031448,-45.5612792
266,Sao Jose,37.3361905,-121.8905833
267,Rio Largo,44.7787868,7.8740195
268,Paraguacu,-21.547222,-45.7375
269,Lavras,-21.2425512,-44.9991978
270,Varginha,-21.5565914,-45.4340674
271,Ferraz de Vasconcelos,-23.541056,-46.37097
272,Picos,-7.0823544,-41.4685053
273,Santa Cruz das Palmeiras,-21.862,-47.2555621118012
274,Guanambi,-14.223066,-42.779943
275,Capim Grosso,-11.3793228,-40.0112095
276,Montes Claros,-16.7273538,-43.8717676
277,Osorio,-29.8890328,-50.2730224
278,Macuco,-21.9849747,-42.2539464
279,Caieiras,-23.3644621,-46.7484765
280,Cachoeiro de Itapemirim,-20.848084,-41.11129
281,Sao Vicente,16.8489552,-24.9723883380736
282,Taruma,-22.7474736,-50.5783374
283,Encruzilhada,-15.5322113,-40.9072488
284,Embu,-0.53596265,37.6653019690204
285,Iguatu,-6.361934,-39.2972233
286,Uberaba,-19.750833,-47.936666
287,Sabara,-19.8900372,-43.8107916
288,Santarém,39.2363637,-8.6867081
289,Anápolis,-16.3332828,-48.9525756
290,Tapirai,-23.9638345,-47.5067136
291,Caraguatatuba,-23.62028,-45.41306
292,Vespasiano,-19.6940958,-43.9186521
293,Tres Rios,-22.1167884,-43.2087226
294,Jiquirica,-13.255353,-39.5693044
295,Arraias,-12.9287788,-46.9437231
296,Niquelandia,-14.4648655,-48.4572244
297,Simoes,-7.5970469,-40.8176003
298,Itaperuna,-21.2048,-41.88801
299,Dois Irmaos,-29.58356,-51.089776
300,Jardinopolis,-21.0255126,-47.7706807
301,Timon,-5.1023325,-42.8449518
302,Diadema,-23.681347,-46.62052
303,Jaguaribe,-5.8838496,-38.6246986
304,Podesta,45.8864585,11.5086603
305,Tobias Barreto,-11.1881379,-38.0031845
306,Massape,-3.5239058,-40.3423107
307,Pinhais,-25.4429489,-49.19267
308,Capanema,-25.6704878,-53.8083036
309,Alto Parana,-25.5,-54.833333
310,Sao Jose do Inhacora,-27.736085,-54.1316582091605
311,Alagoinhas,-12.133526,-38.420772
312,Santana,18.4538553,-66.6632959188745
313,Paracambi,-22.6109158,-43.7096912
314,Foz do Iguaçu,-25.5401479,-54.5858139
315,Ceilandia,-15.8173391,-48.1045766
316,Cuite,-6.4855072,-36.1478606
317,Itapira,-22.436111,-46.821667
318,Itajaí,-26.9117879,-48.6669852
319,Panambi,-28.2898542,-53.501822
320,Governador Valadares,-18.8539497,-41.9458753
321,Tijucas,-27.239404,-48.6353696
322,Amsterdam,52.3745403,4.89797550561798
323,Mariana,-20.3781468,-43.4174862
324,Ivoti,-29.5934057,-51.1599403
325,Parnamirim,-5.9153334,-35.2679913
326,Eunapolis,-16.3722412,-39.575704
327,Matao,-21.602603,-48.3645207
328,Aracuai,-16.8484451,-42.0661868
329,Eusebio,-3.8889838,-38.4546585
330,Bauru,-22.3218102,-49.0705863
331,Cajazeiras,-6.8897849,-38.5570389
332,Caicara,-27.2750478,-53.4310053
333,Vila Muriqui,-22.920887,-43.947087
334,Santa Cruz Cabralia,-16.2815556,-39.0239196
335,Candeias,-12.6693806,-38.5406462
336,New York,40.7308619,-73.9871558
337,Frecheirinha,-3.755572,-40.818019
338,Sinop,42.0266698,35.1506765
339,Mantena,-18.7809937,-40.9808279
340,Lins,-21.6741873,-49.7518932
341,Francisco Morato,-23.2817308,-46.7448996
342,Porto Belo,-27.1542415,-48.5424395
343,Mendes Pimentel,-18.6611641,-41.4020716
344,Guaratingueta,-22.8057839,-45.1908926
345,Votorantim,-23.5466667,-47.4377778
346,Cianorte,-23.662036,-52.6103989
347,Pongai,-21.7379814,-49.3584449
348,Mata de Sao Joao,-12.530685,-38.300898
349,Uruguaiana,-29.7655123,-57.0829466
350,Teófilo Otoni,-17.8579267,-41.5081533
351,São José dos Campos,-23.1805011,-45.8872969
352,Braganca Paulista,-22.9520235,-46.5418586
353,Para de Minas,-19.8599637,-44.6075313
354,Petrópolis,-22.519963,-43.192613
355,Colorado,38.7251776,-105.6077167
356,Sao Joaquim da Barra,-20.5817899,-47.8606374
357,Fremont,37.5482697,-121.9885719
358,Jaru,-10.431826,-62.478769
359,Manhumirim,-20.3599141,-41.9554606
360,Cachoeirinha,-29.9493353,-51.0898927
361,Araxá,-19.5928536,-46.940241
362,Sumare,-22.8219447,-47.266936
363,Presidente Bernardes,-20.7685467,-43.1877237
364,Tremembe,-22.95714,-45.547526
365,Rodeio,-26.9233304,-49.3685354
366,Ijui,-28.388048,-53.91996
367,Uba,-21.12,-42.942777
368,Grand Rapids,42.9632405,-85.6678639
369,Rio Bonito,-22.7108378,-42.6271864
370,Turmalina,-20.0530658,-50.4763212
371,Pomerode,-26.7356218,-49.1770095
372,Ituporanga,-27.4096219,-49.6014812
373,Sao Roque,40.877342,-8.4715907
374,Paranavai,-23.08165,-52.461724
375,Atibaia,-23.1177393,-46.5547861
376,Brejo do Cruz,-6.3505644,-37.4943763
377,Araguaína,-7.193241,-48.2018597
378,Itapecerica,-20.472778,-45.125556
