,city,city_lat,city_long
399,Olinda,-7.9986400999999985,-34.84595520000001
400,Pontal do Parana,-25.574765,-48.36148060000001
401,Ibiquera,-12.648916400000001,-40.932300399999995
402,Jaiba,-15.3373744,-43.6734439
403,São Leopoldo,-29.7544405,-51.1516497
404,Parelhas,-6.691369,-36.6584475
405,Canavieiras,-15.679012799999999,-38.944962200000006
406,Cicero Dantas,-10.5932265,-38.3834411
407,Caruaru,-8.282970200000001,-35.9722852
408,Crato,-7.2369112000000015,-39.4149236
409,Birigui,-21.290849100000006,-50.34144000000001
410,Nova Petropolis,-29.3759836,-51.1123342
411,Alagoa Grande,-7.04575195,-35.5828090926339
412,Lago da Pedra,-4.5627272,-45.1298628
413,Pedro Leopoldo,-19.617778,-44.043054999999995
414,Estancia Velha,-29.65296660000001,-51.1719687
415,Sao Joao,21.673226800000002,112.79542009066401
416,Sao Paulo,-23.5506507,-46.633382399999995
417,Aquiraz,-3.9027184,-38.3889778
418,Caico,-6.4594544,-37.0971911
419,Mogi Guacu,-22.372222,-46.9425
420,Pentecoste,-3.7952282,-39.2713219
421,Teresopolis,-22.4164578,-42.975194
422,Mirassol,-20.8141411,-49.507449
423,Varzea Nova,-11.252793400000002,-40.945656899999996
424,Aguas de Chapeco,-27.074111900000002,-52.987904799999995
425,Santa Cruz do Rio Pardo,-22.88358245,-49.6109217615385
426,Xanxere,-26.874694,-52.403579
427,Colombo,6.921812400000001,79.8655608840961
428,Utinga,-12.0781018,-41.090787
429,Marilac,-18.5075,-42.080278
430,Iepe,-22.660165,-51.077881
431,Santa Gertrudes,-22.47300000000001,-47.5309412925506
432,Miguel Pereira,-22.453941699999998,-43.469197799999996
433,Crucilandia,-20.3985647,-44.3429275
434,Marília,-22.217108,-49.95006
435,Bariri,-22.0746355,-48.739485200000004
436,Pianco,-7.1987413,-37.9255755
437,Candido,1.2507511,-75.601297
438,Dores do Rio Preto,-20.6856469,-41.817603930731295
439,Camaçari,-12.699818800000001,-38.3260762
440,Sao Domingos,15.030237699999995,-23.530823428842
441,Sales Oliveira,-20.8215,-47.84357352941179
442,Biguacu,-27.4961277,-48.6542432
443,Bom Despacho,-19.7375242,-45.251728799999995
444,Paraiba do Sul,-22.1636384,-43.2916915
445,Jacareí,-23.30528,-45.96583
446,Monte Carmelo,-18.7260939,-47.4958859
447,Guaraciaba do Norte,-4.1632924,-40.7495985
448,Panorama,20.2886,-97.6361
449,Pradopolis,-21.3597815,-48.0746603
450,Americo Brasiliense,-21.72396635,-48.03874796875
451,Jaboticabal,-21.252036999999998,-48.325223
452,Carnauba dos Dantas,-6.5528123,-36.554575840266104
453,Sidrolandia,-20.930212,-54.969218999999995
454,Ibirapitanga,-14.161568599999999,-39.369521999999996
455,Coronel Fabriciano,-19.5200067,-42.6282686
456,Capao da Canoa,-29.754293699999998,-50.0215684
457,Hortolândia,-22.85833,-47.22
458,Paulinia,-22.7630391,-47.1532213
459,Porto Nacional,-10.701978599999999,-48.41109520000001
460,Tefé,-3.3485275999999997,-64.7102278
461,Mundo Novo,-23.937887600000003,-54.285948899999994
462,Alagoinha,-8.466337199999998,-36.77488320000001
463,Cambui,-22.6122501,-46.05721370000001
464,Paulista,-7.9340069,-34.868407
465,Sao Luis do Quitunde,-9.243,-35.6422419354839
466,Catu,-12.351274,-38.379108
467,Santa Cruz,50.7504894,20.782912200000002
468,Coronel Ezequiel,-6.359708900000001,-36.206118927065894
469,Tangara,-2.91413965,30.0573360330962
470,Santos Dumont,-21.455867,-43.5522107
471,Ituiutaba,-18.9691887,-49.4639335
472,Vitoria de Santo Antao,-8.1209019,-35.2944858
473,Brasopolis,-22.4742842,-45.6165577
474,Jarinu,-23.094958399999996,-46.7148636
475,Rio do Sul,-27.215959299999998,-49.6436982
476,Floriano,-6.7726534,-43.00706160000001
477,Presidente Epitacio,-21.9845,-52.2318585858586
478,Altamira,43.376844500000004,-4.1197476
479,Antonio Prado,-28.8544878,-51.2803769
480,Resende,-22.46836260000001,-44.4463494
481,Limoeiro do Norte,-5.145560700000001,-38.0984936
482,Valença,-22.24610280000001,-43.6996917
483,Caucaia,-3.7300562999999993,-38.65930820000001
484,Alvorada,-29.9981184,-51.077250899999996
485,Santa Maria da Boa Vista,-8.778454199999999,-39.8727980885698
486,Taquaritinga,-21.407486,-48.5054848
487,Pirapozinho,-22.273874199999998,-51.49988670000001
488,Pereiro,-6.0462690000000014,-38.460419200000004
489,Santa Clara,37.35411320000001,-121.95517439999999
490,Camacari,-12.699818800000001,-38.3260762
491,Ribeirao Branco,-24.217243600000003,-48.764400099999996
492,Codó,-4.455623,-43.892354
493,Maranguape,-3.8922967000000006,-38.683542700000004
494,Buritis,-15.621389,-46.423889
495,Umbauba,-11.382679199999998,-37.656556200000004
496,Jitauna,-14.017019,-39.8889976
497,Matinhos,-25.818734399999997,-48.534281299999996
498,Ipupiara,-11.82207,-42.6111388
499,Balneário Camboriú,-26.992439500000003,-48.6339782
500,Sao Joao dos Patos,-6.4934,-43.703623
501,Indaiatuba,-23.09028,-47.218059999999994
502,Contenda,-25.678811,-49.535044
503,Alegre,-20.7625787,-41.5318886
504,Gouvea,-21.8372602,-46.57722545958821
505,Barbacena,-21.225452399999998,-43.77350870000001
506,Cajamar,-23.3561111,-46.8769444
507,Nilopolis,-22.808011399999998,-43.4138222
508,Cosmopolis,-22.643739800000002,-47.1972086
509,Moreno,-8.108706,-35.08354
510,Alcobaca,39.56304825,-8.96421588223777
511,Patrocinio do Muriae,-21.153333,-42.214444
512,Alta Floresta,-9.8715018,-56.083988100000006
513,Valerio,36.7874463,-4.224681200000001
514,Tucuma,-6.7517239,-51.1507941
515,Crixas,-14.5424536,-49.9694813
516,Sao Francisco de Itabapoana,-21.474336899999997,-41.1118362
517,Sao Francisco,37.779280799999995,-122.4192363
518,Cantagalo,0.2294719,6.6801760277543405
519,Tramandai,-29.9857732,-50.1313662
520,Posse,-14.083585199999998,-46.3563185
521,Lumiar,38.7713305,-9.163768329774573
522,Ariquemes,-9.9076522,-63.033069
523,Boituva,-23.28549030000001,-47.6786902
524,Mogi Mirim,-22.433009,-46.9581629
525,Conceicao da Barra,-18.5841421,-39.7371844
526,Porto Ferreira,-21.846999999999998,-47.46195
527,Cubatao,-23.8857982,-46.4241869
528,Navegantes,-26.88988130000001,-48.6495828
529,Simplicio Mendes,-7.8578604000000025,-41.9091375
530,Torres,-29.3373663,-49.7299648
531,Macarani,-15.5610861,-40.422607799999994
532,Alpinopolis,-20.863611,-46.387777
533,Lucelia,-21.718203,-51.021511
534,Sobral,-3.6879135,-40.34563720000001
535,Lajedo,-8.657914,-36.329336
536,Sao Lourenco do Sul,-31.3660131,-51.9799711
537,Bastos,-21.9200478,-50.7344335
538,Peruibe,-24.3218105,-46.997745200000004
539,Guanhaes,-18.7753627,-42.9340634
540,Sabinopolis,-18.665683899999998,-43.0830439
541,Almenara,-16.174067800000003,-40.6904907
542,Beauharnois,45.313977799999996,-73.875834
543,Caete,-19.897776999999998,-43.670278
544,Chapecó,-27.1011804,-52.61889870000001
545,Caxias,-29.168479600000005,-51.1793861
546,Sao Joao da Barra,-21.634858800000003,-41.0487079
547,Serrolandia,-11.4200011,-40.2974938
548,Paragominas,-2.9956400000000003,-47.354894200000004
549,Lagoa Nova,-6.0948803,-36.47049910000001
550,Capitolio,-20.6142437,-46.0487652
551,Itatiba,-22.996586100000002,-46.8412042
552,Maua,-23.66767,-46.461263
553,Artur Nogueira,-22.5595,-47.1324464285714
554,Solanea,-6.754035099999999,-35.662194299999996
555,Condado,-0.1032661,-78.5045937
556,Boca do Acre,-8.5717733,-68.2743639878733
557,Ilhéus,-14.793045000000001,-39.04602
558,Altinopolis,-21.021364000000002,-47.3712
559,Sangao,-28.6397512,-49.1266106
560,Juramento,-16.845829100000003,-43.58673510000001
561,Paripiranga,-10.6828923,-37.8621523
562,Aracariguama,-23.438610999999998,-47.061389
563,Patos,-7.0258285,-37.27668170000001
564,Caxambu,-20.0721743,-44.475726
565,Videira,-27.005440000000004,-51.1533733
566,Mateus Leme,-19.986666,-44.428056
567,Itirucu,-13.5338389,-40.1502444
568,Maracas,-13.4408898,-40.433052
569,Balsas,-7.532139999999999,-46.037163
570,Camutanga,-7.4092965,-35.2738166
571,Pouso Alegre,-22.234385800000002,-45.9327241
572,Mage,-22.6604221,-43.0426162
573,Pau dos Ferros,-6.1124964,-38.2062628
574,Alegrete,-29.790165999999996,-55.794862
575,Sapiranga,-29.639238199999998,-51.0068586
576,Presidente Medici,-11.24637385,-61.881859876525496
577,Tapes,-30.674772100000002,-51.3986199
578,Pesqueira,-8.357974,-36.697783
579,Belo Jardim,-8.3338293,-36.4176419
580,Rincao,-21.5881095,-48.0724258
581,Itapevi,-23.54888,-46.933889
582,Russas,-4.926727,-37.972086
583,Jaciara,-15.9520115,-54.9762106
